title,job,language
제6회 Kakao Tech Meet에 초대합니다!,ETC,ETC
Golang GC 튜닝 가이드,ETC,GO
Chrome Devtools를 활용하여 나만의 웹뷰 디버깅 환경 만들기 / 제5회 Kakao Tech Meet,ETC,ETC
웹 텍스트 에디터 개발에 필요한 고민과 신규 에디터 소개 / 제5회 Kakao Tech Meet,FE,ETC
[Phocus] 사용자 경험 중심 스벨트 이미지 뷰어 라이브러리 / 제5회 Kakao Tech Meet,FE,ETC
제5회 Kakao Tech Meet에 초대합니다!,ETC,ETC
테크밋 다시 달릴 준비!,ETC,ETC
OROR Forge: Figma to Code 도구 제작기 (2) 실전용으로 만들기,ETC,ETC
OROR Forge: Figma to Code 도구 제작기 (1) 디자인을 코드로 만들어보자!,ETC,ETC
2024 카카오 겨울 인턴십 코딩테스트 문제해설,ETC,ETC
큐라스: 메시지 광고 추천 플랫폼 / 제4회 Kakao Tech Meet,ETC,ETC
JDK 21의 신기능 Virtual Thread 알아보기 / 제4회 Kakao Tech Meet,ETC,ETC
왓챠 추천 서비스 MLOps 적용기 Part2,ETC,ETC
왓챠 추천 서비스 MLOps 적용기 Part1,ETC,ETC
Kubernetes-native 로그 플랫폼,DEVOPS,ETC
TV APP 디자인할 때 고려해야하는 요소들,ETC,ETC
스마트 TV에서 콘텐츠를 새롭게 탐색하는 방법,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 5부 오디오 프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 4부 포스트프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 3부 프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 2부 프리프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> -1부 들어가며,ETC,ETC
함께 구매하면 좋은 상품이에요! - 장바구니 추천 개발기 1부,ETC,ETC
고객에게 뚜렷한 경험을: 컬리의 후기 이미지 처리 기술,ETC,ETC
퀵메뉴로 비즈니스 널리 알리기 (feat. 전지적 디자이너 시점),ETC,ETC
컬리가 상품을 고객에게 빠르게 전달하는 똑똑한 방법,ETC,ETC
후기 서비스 AWS Opensearch 도입기,ETC,ETC
BULK 처리 Write에 집중해서 개선해보기,ETC,ETC
컬리로그팀이 직접 고객을 만나고 리서치를 진행한 이야기: 컬리 푸드 페스타에서,ETC,ETC
서비스 기획자의 뷰티컬리로 확장하기,ETC,ETC
컬리 개발자들의 내돈내산 제품 찐추천 - 사실 컬리 개발자들은 회사에 월급을 반납하고 있습니다.,ETC,ETC
헤이조이스 웨비나를 소개합니다,ETC,ETC
풀필먼트 입고 서비스팀에서 분산락을 사용하는 방법 - Spring Redisson,BE,ETC
뷰티컬리에서 <나의 컬리 스타일>이 갖는 의미,ETC,ETC
뷰티 필터를 개발하며 얻은 새로운 경험,ETC,ETC
"우당탕탕 beauty 풀한, 컬리 앱 서비스 런칭기",ETC,ETC
Dataflow로 컬리의 준실시간 수요 예측모델 파이프라인 구축하기 - 1편,ETC,ETC
지난 9개월간의 딜리버리프로덕트팀의 경험과 변화에 대한 이야기: 애자일,ETC,ETC
6시간 동안 단체로 해외 콘퍼런스 참여하기: 프로덕트콘 같이 보기 이벤트 - ProductCon London 2023,ETC,ETC
TestContainers로 유저시나리오와 비슷한 통합테스트 만들어 보기,ETC,ETC
컬리의 BigQuery 도입기 - 2부,ETC,ETC
컬리 커머스플랫폼의 개발문화를 만들어가는 사람들,ETC,ETC
컬리의 BigQuery 도입기 - 1부,ETC,ETC
AWS MLOps 분산학습 워크숍 방문기,ETC,ETC
데이터사이언스팀이 예측모델을 개발하고 운영하는 방법을 소개합니다.,ETC,ETC
"컬리, IEEM 2022에서 물류센터 생산 계획 최적화 논문을 발표하다",ETC,ETC
데일리 스크럼 : '데일리 스크럼'을 더 잘하기 위한 생각,ETC,ETC
Datadog Dash 2022 컨퍼런스 방문기,ETC,ETC
후기 개선 프로젝트가 끝이 아닌 시작인 이유,ETC,ETC
컬리는 물류 최적화 문제를 어떻게 풀고 있을까? - 2부,ETC,ETC
Kurly만의 MLOps 구축하기 - 쿠브플로우 도입기,ETC,ETC
KURLY 현직자가 직접 뽑은 직무별 핵심 키워드를 소개합니다!,ETC,ETC
Kurly만의 MLOps 구축하기 - 초석 다지기,ETC,ETC
컬리는 물류 최적화 문제를 어떻게 풀고 있을까? - 1부,ETC,ETC
내가 만든 API를 널리 알리기 - Spring REST Docs 가이드편,BE,ETC
Kurly Design Principle,ETC,ETC
우리가 실행해 본 팀원 모두 함께 할 수 있는 팀 빌딩 게임 3가지,ETC,ETC
컬리 공통 암호화 모듈의 동시성 이슈 해결하기,SECURITY,ETC
KURLY HACK FESTA 2022 개최기를 소개합니다.,ETC,ETC
새로운 컬리몰 NX를 소개합니다.,ETC,ETC
컬리 검색이 카프카를 들여다본 이야기 2,ETC,ETC
컬리 검색이 카프카를 들여다본 이야기 1,ETC,ETC
"스크럼, 입고팀이 애자일하게 일하는 법 2부",ETC,ETC
"스크럼, 입고팀이 애자일하게 일하는 법 1부",ETC,ETC
팀을 더욱 유연하게 만들어가는 힘,ETC,ETC
2022년 2월 마켓컬리 개발자 밋업 후기,ETC,ETC
컬리에서 데이터 분석가로 일한다는 것,DATA,ETC
우리는 왜 공통 라이브러리를 만들기 시작했나,ETC,ETC
DevOps팀의 Terraform 모험,DEVOPS,ETC
카트 개발 연대기,ETC,ETC
DDD와 MSA 기반으로 좋은 서비스 개발하기,ETC,ETC
왜 폴 그레이엄은 회사 이름을 Y Combinator라고 지었을까,ETC,ETC
"두근두근 컬리의 면접, 팀에서 성장하기",ETC,ETC
신규 서비스 배포 전에 실험과 개선을 반복한 이야기,DEVOPS,ETC
컬리에서 선물하기를 개발하며 회고,ETC,ETC
React 이해하기,FE,ETC
JPA 덕분에 DB에서 삽질한 이야기,ETC,ETC
Lambda Calculus에 대해 알아보자,ETC,ETC
코드 악취를 맡는 후각 훈련의 시간,ETC,ETC
"Database Driven Development에서 진짜 DDD로의 선회, 이벤트 스토밍 -2-",ETC,ETC
PHP Development Roadmap In 2020 At Kurly,ETC,PHP
마켓컬리에서의 PHP 이야기,ETC,PHP
신규입사자가 바로보는 마켓컬리,ETC,ETC
AWS Sagemaker Ground Truth로 훈련용 이미지를 편하게 분류하자,ETC,ETC
Slack Block Kit 활용,ETC,ETC
Kurly에서 주문을 모니터링 하는 법,ETC,ETC
개발자들이 꺼려하는 까칠한 규식이 형,ETC,ETC
새로 입사한 개발자가 프로젝트에 기여하는 방법 한 가지,ETC,ETC
DevOps 엔지니어의 Redis Test 분투기 - Part 1,DEVOPS,ETC
Database Driven Development에서 진짜 DDD로의 선회 -1-,ETC,ETC
잘못 작성된 람다 코드를 삭제하기까지의 여정,ETC,ETC
BDD로 테스트에 중독되어 보자,ETC,ETC
들어는 보았나 몹 프로그래밍!,ETC,ETC
기술 블로그를 다시 디자인하며,ETC,ETC
쿠폰과 할인으로 앞다리살 하나 더 판매한 이야기,ETC,ETC
마켓컬리 서비스 구조를 소개 합니다,ETC,ETC
Welcome to 마켓컬리!,ETC,ETC
운송 관리 시스템(TMS)의 탄생부터 현장에서 사용하기까지,ETC,ETC
코드와 함께 살펴보는 프론트엔드 단위 테스트 – Part 1. 이론 편,ETC,ETC
[여의도 43층 사람들] Data Scientist & Analyst 에게 무엇이든 물어보세요!,DATA,ETC
웹 애플리케이션 페이지를 패키지로 개발해 본 경험 공유,FE,ETC
[모집 마감] 우아한스터디 2024 여름시즌,ETC,ETC
우아한스터디 2023 여름시즌 후기: 쏙쏙 들어오는 함수형 코딩,ETC,ETC
배민선물하기 AI 메시지 제작기: 생성 AI가 센스 있는 선물 메시지를 대신 쓰기까지,AI,ETC
JPA에서 아이디를 자동증가 값으로 사용 시 하이버네이트의 @NaturalId 사용해 보기,ETC,ETC
"우리 팀을 위한 ESLint, Prettier 공유 컨피그 만들어보기",ETC,ETC
우아한형제들 디자인 시스템에 시각적 회귀 테스트 적용하기,ETC,ETC
뱅크샐러드 iOS팀이 숨쉬듯이 테스트코드 짜는 방식 3편 - 스펙별 단위 테스트,ETC,ETC
"[다시 보기] 4월 우아한테크세미나: Java의 미래, Virtual Thread",ETC,ETC
안전제일! 뱅크샐러드가 모바일 앱을 안정적으로 배포하는 방법,ETC,ETC
모듈 구조를 개선해 더 나은 뱅크샐러드 iOS 앱 개발하기,ETC,ETC
Web을 위한 gRPC Stub과 Runtime 생성하기 - Feat. Buf & kubernetes,DEVOPS,ETC
뱅크샐러드 Go 코딩 컨벤션,ETC,GO
사용법과 함께 작성해본 좌충우돌 AWS DMS 사용기 - feat. RDS 통합 이야기,ETC,ETC
"점점 커지는 RDB Table, S3로 귀양 보내고 Athena로 불러오기 - feat. Optimization with Spark Bucketing",DATA,ETC
분석 데이터를 프로덕션에서 쉽게 사용할 수 없을까?,DATA,ETC
"데이터 분석가가 직접 정의, 배포, 관리하는 뱅크샐러드 데이터 파이프라인",DEVOPS,ETC
3년마다 제공되는 뱅크샐러드의 안식휴가. 2주 이상은 푹-쉬고 돌아오세요!,ETC,ETC
"""검색엔진 가이드""를 금융쇼핑 서비스에 SEO로 활용하기",ETC,ETC
Spark on Kubernetes로 가자!,DATA,ETC
지연 시간 없이 웹폰트 서빙하기 - Feat. Safari & Edge functions,ETC,ETC
뱅크샐러드 사내 해커톤을 소개합니다!,ETC,ETC
뱅크샐러드 Web chapter에서 GitHub Action 기반의 CI 속도를 개선한 방법,ETC,ETC
제1회 뱅크샐러드 디자인 드레싱을 소개합니다,ETC,ETC
[여의도 43층 사람들] Data Engineer 에게 무엇이든 물어보세요!,DATA,ETC
뱅크샐러드 오피스 투어 [업무공간 편],ETC,ETC
[여의도 43층 사람들] VP of Engineering에게 무엇이든 물어보세요!,ETC,ETC
[여의도 43층 사람들] CTO에게 무엇이든 물어보세요!,ETC,ETC
[여의도 43층 사람들] DevOps팀에게 무엇이든 물어보세요!,ETC,ETC
뱅크샐러드 iOS팀이 숨쉬듯이 테스트코드 짜는 방식 2편 - 화면 단위 통합 테스트,ETC,ETC
뱅크샐러드 iOS팀이 숨쉬듯이 테스트코드 짜는 방식 1편 - 통합 UI테스트,ETC,ETC
뱅크샐러드 안드로이드 앱에서 Koin 걷어내고 Hilt로 마이그레이션하기,ETC,ETC
[여의도 43층 사람들] Android 팀에게 무엇이든 물어보세요!,ETC,ETC
[여의도 43층 사람들] iOS팀에게 무엇이든 물어보세요!,ETC,ETC
뱅크샐러드 채용 여정 함께하기,ETC,ETC
주니어 엔지니어의 눈으로 본 AWS re:Invent,ETC,ETC
마이데이터 프로젝트에서 배운 것들,ETC,ETC
분기마다 돌아오는 뱅크샐러드 Pit Stop을 소개합니다.,ETC,ETC
주니어 개발자의 뱅샐 성장기!,ETC,ETC
[여의도 43층 사람들] Web팀에게 무엇이든 물어보세요!,ETC,ETC
일하는 것만큼 쉬는 것도 중요합니다.,ETC,ETC
[여의도 43층 사람들] BX팀에게 무엇이든 물어보세요!,ETC,ETC
팀과 함께 성장하는 Engineering Manager의 역할,ETC,ETC
뱅크샐러드 Data Discovery Platform의 시작,DATA,ETC
마이데이터 맵과 비즈니스 확장성,ETC,ETC
구성원이 재충전의 시간을 갖는 다양한 방법,ETC,ETC
"Tech All Hands, 뱅크샐러드 개발 아고라",ETC,ETC
"뱅크샐러드 채용, 무엇이든 물어보세요",ETC,ETC
두려움 없이 성장하는 뱅크샐러드,ETC,ETC
뱅크샐러드의 실험플랫폼 분석 인프라 살펴보기,DATA,ETC
Banksalad Product Language는 어떻게 디자인되었나요?,ETC,ETC
코드 리뷰 in 뱅크샐러드 개발 문화,ETC,ETC
"뱅크샐러드의 특별한 스펙, '테크 스펙'",ETC,ETC
진정한 실험 조직의 탄생,ETC,ETC
뱅크샐러드는 어떻게 레거시 서비스를 박살 내는가,ETC,ETC
Banksalad Product Language를 소개합니다,ETC,ETC
뱅크샐러드 데이터 조직과 플래닝샵 떠나기,DATA,ETC
"React밖에 모르는 당신에게. GatsbyJS한 잔, '채용~'",ETC,ETC
집에서 일했을 뿐인데 생산성이 폭발했다,ETC,ETC
"매출 손실을 줄여주는 외부링크 관제 Bot, 'URL Checker' 개발기",ETC,ETC
하루에 1000번 배포하는 조직 되기,ETC,ETC
프로덕션 환경에서 사용하는 golang과 gRPC,ETC,ETC
폐쇄망 환경의 배포 시스템 개발기,DEVOPS,ETC
"테스트 코드, 안드로이드에서는 어떻게 작성해야 할까?",ETC,ETC
AWS re:Invent 2019 견문록,ETC,ETC
PyCon KR 2019 뱅크샐러드 돌아보기,ETC,ETC
뱅크샐러드 at Apple Store,ETC,ETC
Typescript로 Local Storage 안전하게 사용하기,ETC,ETC
보이스피싱 애플리케이션 분석 1부,DATA,ETC
NHN Cloud Pipeline을 이용한 CD 파이프라인 구성하기!,ETC,ETC
Redis Cluster를 사용할 때 Spring Boot와 Lettuce client를 설정해 드립니다,BE,ETC
디스어셈블 프레임워크 Capstone-engine 활용하기,ETC,ETC
메시징플랫폼개발팀의 브랜칭 전략은? Release Flow!,ETC,ETC
Firmware Command Injection을 알아보자!,ETC,ETC
이상 탐지 4부-딥 러닝으로 이상 탐지하기,ETC,ETC
Java Reactor onErrorContinue 이모저모,ETC,JAVA
NHN Private Deck 서비스 소개,ETC,ETC
<NHN Cloud 보안 백서>를 소개합니다,SECURITY,ETC
아자르에서 AI 기반 추천 모델의 타겟 지표를 설정하는 방법 (feat. 아하 모멘트),AI,ETC
Azar iOS Team이 잊힌 코드를 추모 하는 법,ETC,ETC
ksqlDB를 이용하여 실시간 ML 피쳐 데이터를 계산하기,ETC,ETC
Jackson과 Scala 기반 Flink를 사용한 코드 리팩토링 과정에서 발생한 Serialization 관련 이슈 해결하기,ETC,ETC
1년 동안 Workload의 절반을 ARM64로 Migration하기,ETC,ETC
[Hyper and Now] 하이퍼커넥트® 렐 문화 탐구,ETC,ETC
고성능 ML 백엔드를 위한 10가지 Python 성능 최적화 팁,ETC,PYTHON
Kubernetes 환경에서 Segmentation Fault 트러블슈팅하기 (Feat. Fluent Bit Contribution),DEVOPS,ETC
ksqlDB Deep Dive,ETC,ETC
Junior 개발자의 글로벌 서비스 경험기 2탄,ETC,ETC
요기요 채널링 서비스 런칭 회고,ETC,ETC
AWS Re:invent 2023 참관기와 연사자 후기! (2),ETC,ETC
AWS Re:invent 2023 참관기와 연사자 후기! (1),ETC,ETC
별이 빛나는 밤에,ETC,ETC
데이터가 없을 때 200인가 404인가?,ETC,ETC
Google Cloud Next’23 참관기,ETC,ETC
Confluent Schema Registry 도입기!,ETC,ETC
DASH 2023 다녀왔습니다.,ETC,ETC
광고 시스템 퍼포먼스 튜닝 회고록,ETC,ETC
"워크숍 맛집, 요기요",ETC,ETC
인공지능 음성 생성 연구 - 음성 분류 솔루션,AI,ETC
생성 모델의 새로운 흐름 확산 모델(Diffusion model)에 관하여,ETC,ETC
2021 인공지능 경진대회 참가기,AI,ETC
딥러닝 ‘생성모델’과 ‘잠재 벡터’에 관하여,AI,ETC
AI 기반 뉴스 3줄 요약 서비스 개발기,AI,ETC
bayesian optimization in trading,ETC,ETC
AI를 활용한 고용률 예측 모델 개발기(2),ETC,ETC
AI를 활용한 고용률 예측 모델 개발기(1),ETC,ETC
‘가짜뉴스를 찾아라!’ 가짜뉴스 판별 특허 알아보기,ETC,ETC
2020 인공지능 그랜드 챌린지 참가기,AI,ETC
인공지능(AI) 아나운서 개발기,AI,ETC
Semi-supervised learning 방법론 소개,ETC,ETC
"AI PLUS 2020 컨퍼런스, 그 현장속으로!",AI,ETC
포털 적용 사례로 알아본 NER 개념과 활용법,ETC,ETC
디지털 뉴딜 총 100억 규모 AI 사업 수주,AI,ETC
AI 컨퍼런스 ‘AI PLUS 2020’ 사전등록 시작,AI,ETC
ICML 2020 논문 소개 - 딥러닝 이론 연구,AI,ETC
스포카에서 Kotlin으로 JPA Entity를 정의하는 방법,ETC,ETC
우당탕탕 주문서 개발기,ETC,ETC
2020 인공지능 온라인 경진대회 참가기,AI,ETC
서버 작업으로 인한 사이트 접속 불가 안내,BE,ETC
문서 이해 인공지능(AI) 연구 동향,AI,ETC
안드로이드 : 이웃 Fragment 간 애니메이션 구현,ETC,ETC
Discover new characters to license through mojitok,ETC,ETC
MWC — Los Angeles vs. Barcelona,ETC,ETC
Top Stickers of 2021,ETC,ETC
ZOOKiZ Stickers Go Global on WhatsApp,ETC,GO
"Fun, family-friendly stickers on Kinzoo",ETC,ETC
Brand Stickers | Next Gen’s Ad,ETC,ETC
Galaxy Store Sticker Upload Guide,ETC,ETC
mojitok employees’ favorite stickers!,ETC,ETC
mojitok’s top selling international packs on the Galaxy store!,ETC,ETC
Querydsl에서 Kotlin JDSL 으로,ETC,KOTLIN
발전하는 iOS와 Clean Swift Architecture,ETC,ETC
키친보드 안드로이드 앱 Jetpack Compose 도입기,ETC,ETC
기능 테스트 전환 이야기,ETC,ETC
이벤트 로그 체계 구축 여정,ETC,ETC
청구/수납 서비스 개발기,ETC,ETC
1년차 개발자의 훈수 두기,ETC,ETC
스포카에서 Jira를 활용하여 프로젝트를 수행하는 방법,ETC,ETC
테스트 자동화 구축 이야기,ETC,ETC
도도카트 안드로이드 앱 개선 여정,ETC,ETC
서버 언어 전환 이야기,BE,ETC
도메인 주도 개발 전환 이야기,ETC,ETC
스포카의 신사업은 어떻게 시장을 바꿔가고 있는가! (feat. 디커플링),ETC,ETC
"Flask, marshmallow, apispec으로 API 문서화 자동화하기",BE,ETC
제3회 스포카콘 후기 및 발표 자료 공유,ETC,ETC
제3회 스포카콘을 개최합니다.,ETC,ETC
안드로이드 앱에 Koin으로 DI 적용하기,ETC,ETC
'글'이 디자인이 될 때,ETC,ETC
Airflow Task failed Alert Mail 폭탄 회피하기,ETC,ETC
Airflow 환경 Docker compose로 containerization하기,DEVOPS,ETC
"업데이트 압축률 67%, 플레이스 리뷰 tagging 시스템 개선경험",ETC,ETC
Introduction to NAVER Place AI Development Team,AI,ETC
ML gpu model server 성능을 유지하며 cpu server로 전환한 경험 공유,ETC,ETC
GitHub Actions를 활용한 개발 효율화,ETC,ETC
MinIO 도입기— HA 이해 및 DR 전략 구성,ETC,ETC
DataHub Opensource에 Protobuf Multi-level nested message support 기능 PR 작성 후기,ETC,ETC
NAVER GLACE AI 개발팀은 어떤 일을 해?,AI,ETC
효율적인 하둡 플랫폼 운영을 위한 “Hive 사용량 통계 레포트” 개발기,ETC,ETC
Req-Saver로 캐시의 골칫거리 'Thundering Herd 문제' 쉽게 풀기!,ETC,ETC
Biome: 차세대 JS Linter와 Formatter,ETC,ETC
"LINE 개발자를 위한 오프라인 밋업, Push&Pull",ETC,ETC
HeadVer - 기민한 프로덕트 팀을 위한 새로운 버저닝 시스템,ETC,ETC
질문에 대처하는 어느 플랫폼 개발자의 이야기,ETC,ETC
오픈소스 ABC User Feedback에 적용한 모노리포 구조 소개,ETC,ETC
읽기 전용 설정으로 MySQL 이전하기,ETC,ETC
"문서 작성 및 관리 노하우를 알리는 행사, Technical Documentation Day 참석 후기",ETC,ETC
쿠버네티스 네이티브 워크플로를 이용한 대용량 스트리밍 파이프라인 검증 자동화 - 3편,ETC,ETC
모두가 행복해지는 API 문서 통합과 자동화,BE,ETC
개발자가 손수 대규모 Cassandra를 신규 클러스터로 이전하기,ETC,ETC
쿠버네티스 네이티브 워크플로를 이용한 대용량 스트리밍 파이프라인 검증 자동화 - 2편,ETC,ETC
"플랫폼 팀의 1년, 일본 최대 규모의 배달 서비스에 안착하기까지 ",ETC,ETC
"LINE SHOPPING JP, 글로벌 협업 프로세스 개선 회고",ETC,ETC
실시간 추천 서비스를 위해 메시지 큐잉 도입하기(with Redis Streams),ETC,ETC
우선순위에 시달리다 공식을 만들었다,ETC,ETC
쿠버네티스 네이티브 워크플로를 이용한 대용량 스트리밍 파이프라인 검증 자동화 - 1편,ETC,ETC
리액트 19 신규 기능 및 개선 사항,ETC,ETC
"보이지 않는 로직, 읽을 수 있는 문서로 만들기!",ETC,ETC
HBase 오픈소스 전환을 위한 HBH(HitBase Handler) 개발기,ETC,ETC
물 흐르듯 자연스러운 화면 전환을 향한 여정,ETC,ETC
이커머스 플랫폼의 주문 DB 마이그레이션 경험기,ETC,ETC
대규모 Redis를 운영하며 살아남기,ETC,ETC
LY Tech Blog에서 FY23 회고를 진행합니다,ETC,ETC
린트 적용으로 코드 대량 변경 시 AST를 이용해 검증하기,ETC,ETC
가상 머신의 성능을 높이는 것도 지구 온난화에 도움이 될까요?,ETC,ETC
